id,dc_code,start_day,end_day,hl_day,discriminator_type
97,2,2016-12-19,2016-12-25,2016-12-14,hlexpectedday
98,2,2016-12-26,2017-01-01,2016-12-21,hlexpectedday
99,2,2017-01-02,2017-01-08,2016-12-28,hlexpectedday
100,2,2017-01-09,2017-01-15,2017-01-04,hlexpectedday
101,2,2017-01-16,2017-01-22,2017-01-11,hlexpectedday
102,2,2017-01-23,2017-01-29,2017-01-18,hlexpectedday
103,2,2017-01-30,2017-02-05,2017-01-25,hlexpectedday
104,2,2017-02-06,2017-02-12,2017-02-01,hlexpectedday
105,2,2017-02-13,2017-02-19,2017-02-08,hlexpectedday
106,2,2017-02-20,2017-02-26,2017-02-15,hlexpectedday
107,2,2017-02-27,2017-03-05,2017-02-22,hlexpectedday
108,2,2017-03-06,2017-03-12,2017-03-01,hlexpectedday
109,2,2017-03-13,2017-03-19,2017-03-08,hlexpectedday
110,2,2017-03-20,2017-03-26,2017-03-15,hlexpectedday
111,2,2017-03-27,2017-04-02,2017-03-22,hlexpectedday
112,2,2017-04-03,2017-04-09,2017-03-29,hlexpectedday
113,2,2017-04-10,2017-04-16,2017-04-05,hlexpectedday
114,2,2017-04-17,2017-04-23,2017-04-12,hlexpectedday
115,2,2017-04-24,2017-04-30,2017-04-19,hlexpectedday
116,2,2017-05-01,2017-05-07,2017-04-26,hlexpectedday
117,2,2017-05-08,2017-05-14,2017-05-03,hlexpectedday
118,2,2017-05-15,2017-05-21,2017-05-10,hlexpectedday
119,2,2017-05-22,2017-05-28,2017-05-17,hlexpectedday
120,2,2017-05-29,2017-06-04,2017-05-24,hlexpectedday
121,2,2017-06-05,2017-06-11,2017-05-31,hlexpectedday
122,2,2017-06-12,2017-06-18,2017-06-07,hlexpectedday
123,2,2017-06-19,2017-06-25,2017-06-14,hlexpectedday
124,2,2017-06-26,2017-07-02,2017-06-21,hlexpectedday
125,2,2017-07-03,2017-07-09,2017-06-28,hlexpectedday
126,2,2017-07-10,2017-07-16,2017-07-05,hlexpectedday
