id,brand_id,item_option_id,output_category_id,order_item_name,order_category_name,order_frontage_size,order_lr,order_with,order_other,output_category,output_part_number1,output_part_number2,output_addition1,output_addition2,output_ek_no,output_base_wheel,output_height,output_width,output_finish,output_grain_direction,output_quantity,output_line,output_color,output_wood_color,output_append_option,output_press_manufacturer_name,output_totte_product,output_selected_color,temporary_id,color_classification,output_grant_line,output_selection_color,line,line_color,end_color,discriminator_type
37,2,MP6045OPS,,ハンガーパイプ付棚板・横：MP60-45-OPS,棚板,,,,,,MP60-45-OPS,,,,,,0,0,,,1,,,#,,,,,,,,,,,,factory
38,2,MP6060OPS,,ハンガーパイプ付棚板・横：MP60-60-OPS,棚板,,,,,,MP60-60-OPS,,,,,,0,0,,,1,,,#,,,,,,,,,,,,factory
39,2,MP7045OPS,,ハンガーパイプ付棚板・横：MP70-45-OPS,棚板,,,,,,MP70-45-OPS,,,,,,0,0,,,1,,,#,,,,,,,,,,,,factory
40,2,MP7060OPS,,ハンガーパイプ付棚板・横：MP70-60-OPS,棚板,,,,,,MP70-60-OPS,,,,,,0,0,,,1,,,#,,,,,,,,,,,,factory
41,2,MP8045OPS,,ハンガーパイプ付棚板・横：MP80-45-OPS,棚板,,,,,,MP80-45-OPS,,,,,,0,0,,,1,,,#,,,,,,,,,,,,factory
42,2,MP8060OPS,,ハンガーパイプ付棚板・横：MP80-60-OPS,棚板,,,,,,MP80-60-OPS,,,,,,0,0,,,1,,,#,,,,,,,,,,,,factory
43,2,MPD5030OPS,,ハンガーパイプ付棚板・縦：MPD50-30-OPS,棚板,,,,,,MPD50-30-OPS,,,,,,0,0,,,1,,,#,,,,,,,,,,,,factory
44,2,MPD5040OPS,,ハンガーパイプ付棚板・縦：MPD50-40-OPS,棚板,,,,,,MPD50-40-OPS,,,,,,0,0,,,1,,,#,,,,,,,,,,,,factory
45,2,MPD5045OPS,,ハンガーパイプ付棚板・縦：MPD50-45-OPS,棚板,,,,,,MPD50-45-OPS,,,,,,0,0,,,1,,,#,,,,,,,,,,,,factory
46,2,MPD6030OPS,,ハンガーパイプ付棚板・縦：MPD60-30-OPS,棚板,,,,,,MPD60-30-OPS,,,,,,0,0,,,1,,,#,,,,,,,,,,,,factory
