id,csv_type_id,creator_id,entity_name,field_name,reference_field_name,disp_name,sort_no,enabled,create_date,update_date,discriminator_type
56,2,,Eccube\\Entity\\Customer,update_date,,Updated on,32,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
57,3,,Eccube\\Entity\\Order,id,,Order ID,1,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
58,3,,Eccube\\Entity\\Order,order_no,,Order No.,2,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
59,3,,Eccube\\Entity\\Order,Customer,id,Customer ID,3,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
60,3,,Eccube\\Entity\\Order,name01,,Your Name (Last),4,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
61,3,,Eccube\\Entity\\Order,name02,,Your Name (First),5,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
62,3,,Eccube\\Entity\\Order,kana01,,Your Name (Last / Phonetic),6,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
63,3,,Eccube\\Entity\\Order,kana02,,Your Name (First / Phonetic),7,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
64,3,,Eccube\\Entity\\Order,company_name,,Company Name,8,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
65,3,,Eccube\\Entity\\Order,postal_code,,Postal Code,9,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
66,3,,Eccube\\Entity\\Order,Pref,id,Prefecture (ID),10,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
67,3,,Eccube\\Entity\\Order,Pref,name,Prefecture (Name),11,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
68,3,,Eccube\\Entity\\Order,addr01,,Address 1,12,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
69,3,,Eccube\\Entity\\Order,addr02,,Address 2,13,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
70,3,,Eccube\\Entity\\Order,email,,Email,14,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
71,3,,Eccube\\Entity\\Order,phone_number,,Phone,15,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
72,3,,Eccube\\Entity\\Order,Sex,id,Gender (ID),16,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
73,3,,Eccube\\Entity\\Order,Sex,name,Gender (Name),17,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
74,3,,Eccube\\Entity\\Order,Job,id,Occupation (ID),18,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
75,3,,Eccube\\Entity\\Order,Job,name,Occupation (Name),19,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
76,3,,Eccube\\Entity\\Order,birth,,Date of Birth,20,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
77,3,,Eccube\\Entity\\Order,note,,Store Staff Notes,21,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
78,3,,Eccube\\Entity\\Order,subtotal,,Subtotal,22,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
79,3,,Eccube\\Entity\\Order,discount,,Discount,23,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
80,3,,Eccube\\Entity\\Order,delivery_fee_total,,Shipping Charge,24,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
81,3,,Eccube\\Entity\\Order,tax,,Tax,25,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
82,3,,Eccube\\Entity\\Order,total,,Total,26,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
83,3,,Eccube\\Entity\\Order,payment_total,,Amount Due,27,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
84,3,,Eccube\\Entity\\Order,OrderStatus,id,Order Status (ID),28,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
85,3,,Eccube\\Entity\\Order,OrderStatus,name,Order Status (Name),29,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
86,3,,Eccube\\Entity\\Order,Payment,id,Payment Method (ID),30,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
87,3,,Eccube\\Entity\\Order,payment_method,,Payment Method (Name),31,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
88,3,,Eccube\\Entity\\Order,order_date,,Order Date,32,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
89,3,,Eccube\\Entity\\Order,payment_date,,Payment Date,33,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
90,3,,Eccube\\Entity\\OrderItem,id,,Order Detail ID,34,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
91,3,,Eccube\\Entity\\OrderItem,Product,id,Product ID,35,1,2017-03-07 10:14:00,2017-03-07 10:14:00,csv
